ID,Аты,Автор,Бағасы,Бет саны,Категория,Мұқаба,Толығырақ,URL
2,Ит жүрегі,Михаил Булгаков,1600 тг,122,Әлем әдебиеті,Жұмсақ,"«Майталман шебер мен Маргарита»шығармасы арқылы әлемге әйгілі болған жазушының бұл повесі заманға берген баға іспеттес. Көзге көрініп тұрған мәселелердің түп төркінін дөп басып айтатын профессор Преображенскийдің тап болған төтенше оқиғасы оқырманды бейжай қалдырмайды. Қазақшаға аударылып, тұңғыш рет жарық көріп отырған бұл шығарма көпшілік оқырманға арналады. Шығарманы қазақшаға аударған Кенжебай Ахметов.",https://qasymkitap.kz/book/2/
4,Теңіз қорқауы,Джек Лондон,3000 тг,430,Әлем әдебиеті,Қатты,"Қаламгерлер ішінде өмірлік тәжірибесінің көптігімен ерекшеленетін америкалық жазушы Джек Лондонның «Теңіз қорқауы» романы әлемнің көптеген тіліне аударылып, бірнеше рет экранизацияланған. XIX ғасыр соңындағы теңізшілер өмірінен сыр шертетін осынау романды оқығанда, өмірі кемеге мініп көрмеген адамның өзі Тынық мұхитын кесіп өткендей әсер алады. Кітап көпшілік оқырманға арналады. Қазақшаға аударған Дидахмет Әшімханұлы.",https://qasymkitap.kz/book/4/
5,Ергежейлілер еліне саяхат,Бердібек Соқпақбаев,1500 тг,96,Қазақ әдебиеті,Қатты,"Бердібек Соқпақбаевтың ең соңғы жазғаны –""Ергежейлі еліне саяхат""хикаяты. 1966 жылы жазылған осы шығармасы Совет үкіметінің саясатына қарсы болғандықтан, жарыққа шықпай қалған. Содан кейін жазушы қолына қалам алмай кеткен. Хикаят бірінші рет кітап болып басылып отыр. Ал ""Компас"", ""Жасырынбақ"", ""Шал мен бала"", ""Балапан торғай"", ""Ағаштар неге ашуланды?"" әңгімелері – балдырғандар үшін нағыз ол жа деуге болады.",https://qasymkitap.kz/book/5/
6,Үш ноян,Александр Дюма,4500 тг,Не найдено,Әлем әдебиеті,Жұмсақ,"Әлем бойынша ең танымал және ең көп экранизацияланған шығармалардың бірі. Бастап оқыған адам соңына жетпей тоқтай алмайтын, осынау әлемдік классика жаңа дизайнмен қазақ оқырмандарына жол тартып отыр.",https://qasymkitap.kz/book/6/
7,Әке,Қаржаубай Омарұлы,2600 тг,251,Қазақ әдебиеті,Қатты,"Қайтақұру кезінде, тоқсаныншы жылдары жазылған, оқырман тарапынан жоғары бағаланған жақсы шығармалардың бірсыпырасы заманның қиындығына байланысты жарық көрмей қалған немесе бір-екі-ақ рет аз тиражбен басылып, қайта шықпай қалған. Солардың бірі – Қаржаубай Омарұлының ""Әке"" повесі. Оқыған адамды бейжай қалдымайтын, көп нәрсенің қадіріне жетуге үйрететін шығарма.",https://qasymkitap.kz/book/7/
8,Кішкентай шахзада,Антуан де Сент-Экзюпери,1400 тг,91,Әлем әдебиеті,Жұмсақ,Баланың қиялын ұшқыр етіп тәрбиелеуге көмектесетін бұл кітап қазақшаға бірнеше рет аударылған. Соның ішінде қазақ әдебиетінің классигі Тәкен Әлімқұловтың 1967 жылы жасаған аудармасы да бар. Кітапқа сол нұсқа енді. Кітап балалар мен ата-аналарға арналады.,https://qasymkitap.kz/book/8/
10,Менің атым Қожа,Бердібек Соқпақбаев,1400 тг,139,Қазақ әдебиеті,Жұмсақ,"Жазушының бұл повесі жазылғаннан бері жарты ғасырдан астам уақыт өтсе де, өзінің ғажабын жоғалтпай келеді. Жыл сайын бесінші сыныпқа баратын жаңа ұрпақ Қожамен құрдас болып, оның сырласына айналып отырады. Шығармамен енді танысқан кез келген бала Қожаның басынан өткен хикаяларды қызыға оқып, онымен бірге қуанып, онымен бірге күліп, арасында онымен бірге мұңаяды. Сондай-ақ, қайталап оқыған адам да құтты бір бірінші рет оқып отырғандай әсерленіп, жадырап күліп, балаша мәз болады.Кітап балаларға және балалық шағын есіне түсіргісі келетін ересектерге арналады.",https://qasymkitap.kz/book/10/
11,Ескек жел,Сайын Мұратбеков,1800 тг,211,Қазақ әдебиеті,Жұмсақ,"Бұл кітапқа Сайын Мұратбековтың әртүрлі тақырыпта жазған әңгімелері жинақталып отыр. Адамның жан әлеміне, көңіл күйдің қазақстан қалтарыстарына үңілудің шебері – бұл әңгімелерінде де оқырманды тамсандырып отырады. Кітап жасөспірімдер мен ересектерге арналады.",https://qasymkitap.kz/book/11/
12,Қар қызы,Оралхан Бөкей,1600 тг,204,Қазақ әдебиеті,Жұмсақ,"«Қар қызы» повесі бір қарағанда, соғыстан кейін туған ұрпақтың қасіретін көрсететін шығарма болса, екінші жағынан бір-біріне ұқсамайтын адамдардың жан әлеміне үңілетін туынды. Үлкен өмірде тағдырлас болып, енді қиын да, қауіпті тапсырманы орындау барысында сапарласқа айналған құрдас жігіттердің арпалысы мифтік сарынмен қатар өрілген. Оқиғалар оқырманды қызықтырып, соңында не болады дегізіп, ынтықтыра алады. Кітап балалар мен жасөспірімдерге, сондай-ақ, қиял әлемінен ажырамаған ересектерге арналады.",https://qasymkitap.kz/book/12/
13,Қылау,Сайын Мұратбеков,1200 тг,100,Қазақ әдебиеті,Жұмсақ,"Бұл кітапқа жазушының балалар өмірі туралы жазған әңгімелері еніп отыр. Аса сезімталдығымен, үлкен жүрегімен ерекшеленетін жазушының бұл әңгімелері қашанда оқырман көңілінен шығып, жан әлемінен орын алып келеді. Әсіресе талғамы биік, аса сезімтал оқырман үшін үлкен олжа. Кітап мектеп жасындағы балалар мен ересектерге арналады.",https://qasymkitap.kz/book/13/
